@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute thumb numeric
@attribute index numeric
@attribute middle numeric
@attribute ring numeric
@attribute pinky numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
219,'2020/05/08 16:20:03:381',1,56.86467,84.250519,94.672798,88.728775,73.841568,1,0
220,'2020/05/08 16:20:03:397',1,56.909794,84.251961,94.942413,88.763596,74.321342,1,0
221,'2020/05/08 16:20:03:417',1,56.99678,84.253403,95.030663,89.531586,74.594925,1,0
222,'2020/05/08 16:20:03:433',1,57.186417,84.254799,95.534523,90.230927,74.93483,1,0
223,'2020/05/08 16:20:03:449',1,57.483574,84.25618,96.483269,90.496605,75.470345,1,0
224,'2020/05/08 16:20:03:465',1,57.581425,84.256859,96.871292,90.508957,75.793724,1,0
225,'2020/05/08 16:20:03:481',1,57.734058,84.258217,97.262901,90.964081,76.211121,1,0
226,'2020/05/08 16:20:03:501',1,57.82658,84.259537,97.412758,91.377296,76.843452,1,0
227,'2020/05/08 16:20:03:521',1,57.886768,84.26149,97.849686,91.358307,77.463707,1,0
228,'2020/05/08 16:20:03:533',1,57.904465,84.262131,97.897438,91.374992,77.51532,1,0
229,'2020/05/08 16:20:03:549',1,57.978577,84.263397,98.023262,91.637405,77.627342,1,0
230,'2020/05/08 16:20:03:565',1,58.056351,84.264648,98.370331,91.812431,77.841934,1,0
231,'2020/05/08 16:20:03:585',1,58.161453,84.265884,98.735451,91.756645,78.029694,1,0
232,'2020/05/08 16:20:03:597',1,58.198505,84.266472,98.812073,91.494453,78.102013,1,0
233,'2020/05/08 16:20:03:617',1,58.301094,84.267685,98.823608,91.412201,78.194733,1,0
234,'2020/05/08 16:20:03:633',1,58.387138,84.268852,98.832016,90.978981,78.259636,1,0
235,'2020/05/08 16:20:03:649',1,58.420902,84.269447,98.773041,90.758286,78.279732,1,0
236,'2020/05/08 16:20:03:665',1,58.482239,84.270317,98.706444,90.524391,78.28791,1,0
237,'2020/05/08 16:20:03:685',1,58.570683,84.271172,98.593872,90.489311,78.217461,1,0
238,'2020/05/08 16:20:03:701',1,58.678635,84.272301,98.441254,90.440269,78.12793,1,0
239,'2020/05/08 16:20:03:717',1,58.75489,84.272873,98.358131,90.327553,78.092003,1,0
240,'2020/05/08 16:20:03:733',1,58.900196,84.273972,98.158989,89.876106,78.003128,1,0
241,'2020/05/08 16:20:03:749',1,58.948704,84.27507,97.741081,89.791817,77.832878,1,0
242,'2020/05/08 16:20:03:765',1,58.969433,84.276138,97.551819,89.412369,77.668457,1,0
243,'2020/05/08 16:20:03:781',1,58.97517,84.276665,97.529167,89.167694,77.591782,1,0
244,'2020/05/08 16:20:03:797',1,58.94894,84.277725,97.403206,88.82917,77.377846,1,0
245,'2020/05/08 16:20:03:817',1,58.843105,84.27877,97.284431,88.716621,77.197014,1,0
246,'2020/05/08 16:20:03:833',1,58.722023,84.2798,97.085739,88.702805,77.022972,1,0
247,'2020/05/08 16:20:03:854',1,58.617889,84.2808,97.00177,88.227089,76.964279,1,0
248,'2020/05/08 16:20:03:865',1,58.543987,84.281807,96.920486,88.300339,76.841988,1,0
249,'2020/05/08 16:20:03:881',1,58.496529,84.282288,96.783554,88.509529,76.766029,1,0
250,'2020/05/08 16:20:03:897',1,58.397804,84.283279,96.58477,88.332962,76.733864,1,0
251,'2020/05/08 16:20:03:917',1,58.388168,84.284233,96.444733,87.395073,76.665894,1,0
252,'2020/05/08 16:20:03:933',1,58.396835,84.285194,96.066223,87.056343,76.485947,1,0
253,'2020/05/08 16:20:03:949',1,58.417637,84.286125,95.730309,86.88488,76.291901,1,0
254,'2020/05/08 16:20:03:965',1,58.429512,84.287056,95.417915,86.772682,76.137756,1,0
255,'2020/05/08 16:20:03:981',1,58.427814,84.287987,95.077316,86.690849,75.999687,1,0
256,'2020/05/08 16:20:03:997',1,58.424419,84.288429,94.846893,86.687378,75.827179,1,0
257,'2020/05/08 16:20:04:019',1,58.420177,84.289764,93.653046,85.733192,74.924675,1,0
258,'2020/05/08 16:20:04:033',1,58.414215,84.290215,93.189095,85.477097,74.717705,1,0
259,'2020/05/08 16:20:04:049',1,58.406475,84.291092,92.162399,85.479553,74.419495,1,0
260,'2020/05/08 16:20:04:065',1,58.393875,84.291962,91.562698,85.482224,74.271858,1,0
261,'2020/05/08 16:20:04:089',1,58.395668,84.292534,91.400154,85.629967,74.207985,1,0
262,'2020/05/08 16:20:04:097',1,58.39463,84.292816,91.384888,85.62986,74.205635,1,0
263,'2020/05/08 16:20:04:117',1,58.336647,84.294075,91.368736,85.653931,74.182617,1,0
264,'2020/05/08 16:20:04:133',1,58.33704,84.294502,91.363708,85.726105,74.1745,1,0
265,'2020/05/08 16:20:04:149',1,58.342701,84.295319,91.193718,85.797493,74.156746,1,0
266,'2020/05/08 16:20:04:165',1,58.387108,84.29615,91.040543,85.844727,74.135796,1,0
267,'2020/05/08 16:20:04:187',1,58.46471,84.296944,91.096863,85.94902,74.125191,1,0
268,'2020/05/08 16:20:04:201',1,58.494049,84.297737,91.560806,85.976273,74.148834,1,0
269,'2020/05/08 16:20:04:217',1,58.509953,84.298531,91.89138,86.120056,74.140251,1,0
270,'2020/05/08 16:20:04:233',1,58.515778,84.29892,91.98452,86.395073,74.133194,1,0
